project;tagCreatedOn;tagCoverage;projectCreatedOn;platform;domain;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
google-maps-services-java;2019;0.7395999999999999;2014;Multi-platform;Libraries;1206;70;0.1128;72;1;7;80;0.9;0.0125;0.0875;10;0;1;11;0.9091;0.0;0.0909;0.1375;0.0;0.1389;0.1389;0.1579
hutool;2019;0.3071;2014;Desktop/Server;Tools;7546;7;0.008;260;539;49;848;0.3066;0.6356;0.0578;3;3;2;8;0.375;0.375;0.25;0.0094;0.0056;0.0115;0.0115;0.0686
OpenRefine;2019;0.4571;2012;Desktop/Server;Tools;6529;103;0.0239;127;88;14;229;0.5546;0.3843;0.0611;17;16;3;36;0.4722;0.4444;0.0833;0.1572;0.1818;0.1339;0.1339;0.1321
btrace;2018;0.2977;2014;Multi-platform;Tools;3310;14;0.0059;141;2;44;187;0.754;0.0107;0.2353;2;1;0;3;0.6667;0.3333;0.0;0.016;0.5;0.0142;0.0142;0.0233
teammates;2019;0.8506999999999999;2014;Desktop/Server;Tools;909;359;0.0067;24;186;11;221;0.1086;0.8416;0.0498;5;112;3;120;0.0417;0.9333;0.025;0.543;0.6022;0.2083;0.2083;0.0357
SchemaCrawler;2019;0.7066;2015;Desktop/Server;Tools;777;2;0.0881;119;138;13;270;0.4407;0.5111;0.0481;14;6;2;22;0.6364;0.2727;0.0909;0.0815;0.0435;0.1176;0.1176;0.1579
ffmpeg-cli-wrapper;2017;0.8159000000000001;2014;Desktop/Server;Tools;673;13;0.1954;57;0;0;57;1.0;0.0;0.0;8;0;0;8;1.0;0.0;0.0;0.1404;NaN;NaN;0.1404;0.2105
java-dns-cache-manipulator;2016;0.7653;2015;Desktop/Server;Tools;472;3;0.1463;10;13;0;23;0.4348;0.5652;0.0;4;1;0;5;0.8;0.2;0.0;0.2174;0.0769;0.4;0.4;0.2308
distributed-redis-tool;2018;0.7288;2018;Desktop/Server;Tools;468;3;0.0;4;0;0;4;1.0;0.0;0.0;1;0;0;1;1.0;0.0;0.0;0.25;NaN;NaN;0.25;0.0
lavagna;2018;0.6284000000000001;2014;Desktop/Server;Tools;441;9;0.0967;22;1;0;23;0.9565;0.0435;0.0;5;1;0;6;0.8333;0.1667;0.0;0.2609;1.0;0.2273;0.2273;0.1667
batfish;2019;0.7543000000000001;2014;Desktop/Server;Tools;375;30;0.0634;357;761;61;1179;0.3028;0.6455;0.0517;70;111;3;184;0.3804;0.6033;0.0163;0.1561;0.1459;0.1961;0.1961;0.2297
JSCover;2019;0.9620000000000001;2012;Desktop/Server;Tools;364;9;0.0554;29;1;0;30;0.9667;0.0333;0.0;25;1;0;26;0.9615;0.0385;0.0;0.8667;1.0;0.8621;0.8621;0.3529
gumtree;2019;0.5588000000000001;2014;Desktop/Server;Tools;309;15;0.0946;23;12;10;45;0.5111;0.2667;0.2222;1;4;0;5;0.2;0.8;0.0;0.1111;0.3333;0.0435;0.0435;0.0833
